tipo_celular,module_size,PLCL1_MM,PLCL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.577,95.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349.0,0.284,76.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,165.0,0.478,93.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229.0,0.222,63.0,45,1,2.22,NA,44,97.78,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567.0,0.171,40.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,637.0,0.346,87.0,91,3,3.3,1.37 (-0.91-3.66),88,96.7,4.63 (4.11-5.15)
da like neurons 11,408.0,0.604,95.0,25,3,12.0,0.90 (0.75-1.04),22,88.0,5.27 (3.96-6.58)
GABA neurons expressing GABA receptors 13,288.0,0.355,90.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450.0,0.428,82.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.189,42.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300.0,0.161,27.0,306,11,3.59,1.92 (1.30-2.54),295,96.41,5.27 (5.02-5.53)
astrocytes 8,771.0,0.785,99.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.417,94.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204.0,0.556,89.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,250.0,0.558,83.0,117,1,0.85,2.43 (NA-NA),116,99.15,5.41 (5.01-5.80)
astrocytes 15,458.0,0.534,99.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,199.0,0.261,93.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.194,0.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,102.0,0.378,86.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,117.0,0.177,62.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,127.0,0.264,69.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,681.0,0.191,95.0,87,5,5.75,2.32 (1.39-3.26),82,94.25,2.60 (2.32-2.88)
oligodendrocytes 2,921.0,0.204,99.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
