tipo_celular,module_size,HDDC2_MM,HDDC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.226,81.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656.0,0.159,98.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,628.0,0.123,19.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.196,56.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.193,68.0,213,2,0.94,1.25 (-0.12-2.62),211,99.06,3.78 (3.53-4.03)
endothelial cells 9,916.0,0.117,20.0,302,0,0.0,NA,302,100.0,3.98 (3.75-4.21)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.454,85.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,262.0,0.089,22.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,1049.0,0.106,59.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,116.0,0.426,95.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.106,68.0,105,3,2.86,1.67 (0.52-2.82),102,97.14,3.26 (2.92-3.60)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.171,61.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,108.0,0.299,37.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,1807.0,0.16,78.0,104,3,2.88,1.67 (0.52-2.82),101,97.12,2.90 (2.62-3.19)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
