tipo_celular,module_size,SFT2D2_MM,SFT2D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.162,20.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727.0,0.236,96.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,142.0,0.074,7.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.084,8.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,322.0,0.244,87.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,2107.0,0.113,35.0,358,4,1.12,0.85 (0.13-1.57),354,98.88,3.91 (3.71-4.10)
connective tissue cells 21,78.0,0.211,29.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.238,64.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.3,41.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.131,84.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.115,58.0,161,4,2.48,0.85 (0.13-1.57),157,97.52,3.35 (3.08-3.61)
oligodendrocytes 3,743.0,0.075,40.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.169,93.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
