tipo_celular,module_size,GRM5_MM,GRM5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.149,91.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,436.0,0.12,42.0,219,29,13.24,5.71 (5.18-6.24),190,86.76,5.14 (4.82-5.46)
GABA neurons expressing GLU receptors 22,459.0,0.409,98.0,165,31,18.79,3.99 (3.01-4.98),134,81.21,5.29 (4.94-5.64)
GLU like neurons 17,795.0,0.135,53.0,80,5,6.25,4.56 (2.73-6.39),75,93.75,5.79 (5.38-6.20)
da like neurons 11,191.0,0.367,70.0,93,22,23.66,5.15 (4.50-5.80),71,76.34,5.86 (5.37-6.36)
GABA neurons expressing GABA receptors 13,200.0,0.218,86.0,34,4,11.76,5.29 (1.59-8.99),30,88.24,3.75 (2.85-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.235,63.0,306,55,17.97,3.95 (3.37-4.54),251,82.03,5.39 (5.12-5.67)
astrocytes 8,1266.0,0.1,67.0,66,8,12.12,2.08 (0.98-3.17),58,87.88,3.41 (2.98-3.85)
oligodendrocyte progenitor cells 12,411.0,0.412,90.0,103,14,13.59,5.42 (4.61-6.23),89,86.41,5.57 (5.14-6.00)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.352,96.0,8,2,25.0,2.32 (-1.48-6.12),6,75.0,4.22 (1.72-6.72)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.117,57.0,122,7,5.74,1.32 (0.78-1.87),115,94.26,4.20 (3.82-4.59)
astrocytes microglia 23,122.0,0.405,87.0,46,5,10.87,5.20 (4.77-5.64),41,89.13,5.01 (4.38-5.64)
astrocytes 4,201.0,0.434,100.0,18,6,33.33,3.33 (2.74-3.91),12,66.67,5.26 (4.09-6.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
