tipo_celular,module_size,PRKCZ_MM,PRKCZ_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.149,29.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.112,19.0,353,56,15.86,2.36 (2.03-2.69),297,84.14,4.29 (4.10-4.47)
GABA neurons expressing GLU receptors 22,703.0,0.238,79.0,23,2,8.7,2.85 (2.21-3.49),21,91.3,2.02 (1.24-2.79)
GLU like neurons 17,300.0,0.331,100.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,853.0,0.145,60.0,133,38,28.57,2.42 (2.00-2.85),95,71.43,3.67 (3.29-4.06)
GABA neurons expressing GABA receptors 13,417.0,0.098,7.0,213,28,13.15,2.28 (1.64-2.92),185,86.85,4.01 (3.77-4.25)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.121,20.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.219,86.0,74,12,16.22,2.13 (1.92-2.35),62,83.78,3.13 (2.68-3.57)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.128,59.0,32,11,34.38,2.91 (1.44-4.39),21,65.62,3.46 (2.50-4.42)
oligodendrocytes 10,806.0,0.168,54.0,261,11,4.21,3.35 (2.46-4.24),250,95.79,4.40 (4.16-4.65)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.195,47.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,553.0,0.104,30.0,124,7,5.65,4.04 (3.00-5.08),117,94.35,4.19 (3.78-4.61)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,309.0,0.13,44.0,30,2,6.67,5.51 (5.51-5.51),28,93.33,6.14 (5.49-6.80)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.095,42.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,131.0,0.111,6.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
