tipo_celular,module_size,NLN_MM,NLN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.298,94.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.104,31.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.122,29.0,353,19,5.38,1.48 (1.01-1.94),334,94.62,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,459.0,0.07,7.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,489.0,0.138,51.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,137.0,0.294,54.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.167,41.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.17,76.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.079,31.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.086,60.0,276,14,5.07,1.91 (1.45-2.36),262,94.93,3.66 (3.44-3.88)
oligodendrocytes 10,2107.0,0.074,15.0,358,20,5.59,1.34 (0.90-1.79),338,94.41,4.07 (3.88-4.25)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.045,14.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,116.0,0.258,87.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,161.0,0.309,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.115,8.0,104,11,10.58,1.65 (1.07-2.22),93,89.42,3.02 (2.73-3.31)
oligodendrocytes 0,2078.0,0.091,11.0,238,3,1.26,1.98 (0.20-3.77),235,98.74,3.66 (3.44-3.88)
microglia 1,813.0,0.153,80.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.103,65.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,347.0,0.186,46.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
