tipo_celular,module_size,RNASEH2B_MM,RNASEH2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.215,81.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.188,74.0,98,25,25.51,1.70 (1.26-2.13),73,74.49,3.68 (3.37-3.99)
astrocytes 5,1656.0,0.13,74.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,29,8.22,2.05 (1.52-2.57),324,91.78,4.11 (3.93-4.29)
GABA neurons expressing GLU receptors 22,599.0,0.215,52.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,637.0,0.111,27.0,91,6,6.59,0.39 (0.28-0.50),85,93.41,4.94 (4.48-5.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.115,41.0,297,3,1.01,3.86 (2.42-5.31),294,98.99,3.67 (3.47-3.88)
oligodendrocytes 20,253.0,0.233,77.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.134,45.0,125,3,2.4,3.94 (2.34-5.54),122,97.6,3.33 (3.00-3.66)
astrocytes 8,218.0,0.111,55.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,23,8.33,2.48 (1.95-3.01),253,91.67,3.67 (3.44-3.90)
oligodendrocytes 10,2107.0,0.311,90.0,358,29,8.1,2.05 (1.52-2.57),329,91.9,4.08 (3.89-4.27)
connective tissue cells 21,101.0,0.342,76.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401.0,0.041,9.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,51.0,0.162,10.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,51.0,0.356,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.121,13.0,104,20,19.23,1.89 (1.43-2.35),84,80.77,3.12 (2.81-3.43)
oligodendrocytes 0,2078.0,0.114,50.0,238,7,2.94,3.09 (1.66-4.52),231,97.06,3.66 (3.43-3.88)
microglia 1,1615.0,0.148,88.0,161,27,16.77,1.80 (1.37-2.22),134,83.23,3.65 (3.38-3.93)
oligodendrocytes 3,854.0,0.102,63.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.102,4.0,84,5,5.95,1.60 (0.35-2.86),79,94.05,2.78 (2.43-3.12)
