tipo_celular,module_size,ABCB8_MM,ABCB8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.117,52.0,136,1,0.74,1.23 (NA-NA),135,99.26,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,34,9.63,1.91 (1.53-2.30),319,90.37,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,400.0,0.289,89.0,24,14,58.33,1.32 (0.88-1.75),10,41.67,3.33 (2.88-3.78)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.059,2.0,410,26,6.34,2.66 (2.18-3.15),384,93.66,4.40 (4.21-4.59)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,275.0,0.306,81.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.084,10.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.072,47.0,89,3,3.37,1.99 (1.25-2.73),86,96.63,2.80 (2.43-3.16)
oligodendrocyte progenitor cells 12,218.0,0.027,3.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,1277.0,0.019,1.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.329,63.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,338.0,0.21,84.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,74.0,0.143,25.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.385,69.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,1807.0,0.146,53.0,104,12,11.54,1.66 (1.05-2.27),92,88.46,3.03 (2.74-3.33)
oligodendrocytes 0,2078.0,0.091,11.0,238,5,2.1,1.93 (0.85-3.01),233,97.9,3.68 (3.46-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.045,6.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.163,88.0,154,3,1.95,2.78 (1.18-4.38),151,98.05,3.26 (2.99-3.52)
