tipo_celular,module_size,ETV1_MM,ETV1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.09,7.0,166,27,16.27,1.86 (1.54-2.18),139,83.73,3.77 (3.51-4.03)
oligodendrocyte progenitor cells 7,448.0,0.172,73.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.095,25.0,135,25,18.52,1.74 (1.44-2.04),110,81.48,3.60 (3.26-3.93)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,283.0,0.18,72.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,138.0,0.558,97.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,112.0,0.327,87.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,1768.0,0.077,41.0,105,12,11.43,1.14 (0.87-1.40),93,88.57,3.51 (3.17-3.84)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,52.0,0.294,32.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,201.0,0.188,64.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
