tipo_celular,module_size,SWAP70_MM,SWAP70_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.114,18.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,15,4.25,1.60 (0.74-2.45),338,95.75,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.177,70.0,135,16,11.85,2.21 (1.56-2.87),119,88.15,3.33 (3.00-3.65)
da like neurons 11,168.0,0.459,97.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.294,88.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,938.0,0.051,13.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,2402.0,0.15,25.0,455,8,1.76,0.60 (0.39-0.81),447,98.24,4.43 (4.26-4.61)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,8,2.9,1.25 (0.89-1.60),268,97.1,3.62 (3.40-3.84)
oligodendrocytes 10,2107.0,0.2,69.0,358,20,5.59,1.59 (0.88-2.30),338,94.41,4.04 (3.85-4.22)
connective tissue cells 21,111.0,0.195,4.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.256,71.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.359,62.0,120,22,18.33,2.22 (1.69-2.75),98,81.67,3.99 (3.68-4.30)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.118,58.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,480.0,0.274,80.0,163,10,6.13,3.46 (2.46-4.46),153,93.87,3.72 (3.45-4.00)
oligodendrocytes 3,1003.0,0.027,1.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.143,52.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
