tipo_celular,module_size,SLC7A1_MM,SLC7A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.247,89.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,322.0,0.099,10.0,58,5,8.62,2.34 (1.43-3.25),53,91.38,4.38 (3.96-4.80)
oligodendrocyte progenitor cells 7,666.0,0.166,49.0,127,8,6.3,1.94 (1.04-2.85),119,93.7,4.03 (3.69-4.36)
GABA neurons expressing GLU receptors 22,703.0,0.203,61.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,489.0,0.082,13.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,71.0,0.081,10.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.122,28.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,658.0,0.435,96.0,120,12,10.0,4.55 (3.37-5.72),108,90.0,4.61 (4.29-4.94)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.089,12.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.1,52.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,10,3.62,1.73 (1.12-2.33),266,96.38,3.63 (3.41-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.142,87.0,96,3,3.12,1.95 (1.78-2.12),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.103,33.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,83.0,0.336,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.088,1.0,104,4,3.85,0.87 (0.13-1.61),100,96.15,2.95 (2.67-3.23)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
