tipo_celular,module_size,ZNF521_MM,ZNF521_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.196,79.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.134,46.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.098,21.0,91,8,8.79,0.61 (0.16-1.06),83,91.21,4.99 (4.54-5.45)
da like neurons 11,209.0,0.195,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.184,43.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,221.0,0.279,76.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.157,65.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.3,91.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,138.0,0.539,92.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,1277.0,0.215,94.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.279,43.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1768.0,0.125,81.0,105,15,14.29,1.37 (1.05-1.69),90,85.71,3.55 (3.21-3.89)
oligodendrocytes 16,91.0,0.127,3.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,166.0,0.256,37.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,161.0,0.139,24.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,117.0,0.172,59.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.127,76.0,87,34,39.08,1.90 (1.65-2.16),53,60.92,3.09 (2.71-3.46)
oligodendrocytes 2,347.0,0.191,48.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
