tipo_celular,module_size,SDK1_MM,SDK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.223,48.0,140,11,7.86,4.39 (3.60-5.18),129,92.14,4.57 (4.27-4.88)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.181,98.0,353,7,1.98,1.70 (0.94-2.46),346,98.02,3.95 (3.76-4.13)
GABA neurons expressing GLU receptors 22,459.0,0.203,67.0,165,14,8.48,4.94 (3.74-6.14),151,91.52,5.08 (4.72-5.44)
GLU like neurons 17,489.0,0.156,59.0,42,4,9.52,4.80 (4.21-5.39),38,90.48,6.12 (5.53-6.72)
da like neurons 11,191.0,0.288,53.0,93,17,18.28,4.98 (4.01-5.96),76,81.72,5.85 (5.42-6.27)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.203,55.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.176,35.0,306,24,7.84,4.07 (3.16-4.98),282,92.16,5.22 (4.95-5.49)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,5,1.81,2.06 (0.98-3.13),271,98.19,3.57 (3.35-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147.0,0.297,79.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.205,18.0,99,5,5.05,3.67 (2.23-5.12),94,94.95,4.34 (3.99-4.68)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.182,55.0,144,8,5.56,4.27 (3.18-5.36),136,94.44,4.47 (4.15-4.79)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
