tipo_celular,module_size,TSPOAP1_MM,TSPOAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.123,71.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.119,26.0,353,14,3.97,1.31 (0.74-1.89),339,96.03,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,1069.0,0.205,78.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,853.0,0.309,98.0,133,7,5.26,1.16 (0.19-2.13),126,94.74,3.39 (3.08-3.70)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.361,100.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.12,78.0,66,10,15.15,1.30 (0.52-2.09),56,84.85,3.63 (3.24-4.03)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,9,3.26,1.68 (1.22-2.14),267,96.74,3.62 (3.41-3.84)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.115,75.0,105,5,4.76,1.41 (0.54-2.28),100,95.24,3.31 (2.97-3.65)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,132.0,0.341,59.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.191,98.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
