tipo_celular,module_size,RALGAPB_MM,RALGAPB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.183,31.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727,0.156,59.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.145,70.0,166,6,3.61,4.01 (2.56-5.46),160,96.39,3.36 (3.11-3.62)
oligodendrocyte progenitor cells 7,4285,0.16,85.0,353,4,1.13,3.21 (0.92-5.49),349,98.87,3.90 (3.71-4.09)
GABA neurons expressing GLU receptors 22,487,0.145,19.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316,0.129,55.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,204,0.058,3.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,288,0.069,1.0,93,6,6.45,3.64 (2.28-5.00),87,93.55,5.29 (4.77-5.80)
endothelial cells 9,1653,0.144,63.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,233,0.171,38.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.177,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218,0.02,1.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.076,47.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,2107,0.084,19.0,358,8,2.23,3.35 (1.98-4.73),350,97.77,3.88 (3.68-4.07)
connective tissue cells 21,106,0.303,57.0,9,0,0.0,NA,9,100.0,3.76 (1.20-6.32)
astrocytes 15,268,0.087,50.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,90,0.178,38.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.096,25.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,58,0.217,9.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,787,0.161,69.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.164,82.0,300,2,0.67,4.01 (3.12-4.91),298,99.33,3.79 (3.58-4.00)
microglia 1,1615,0.108,48.0,161,7,4.35,3.72 (2.36-5.07),154,95.65,3.25 (2.97-3.52)
oligodendrocytes 3,854,0.101,62.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804,0.137,32.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
