tipo_celular,module_size,CEBPB_MM,CEBPB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.333,100.0,71,5,7.04,1.47 (0.79-2.14),66,92.96,2.73 (2.29-3.16)
T cells 18,506.0,0.245,67.0,225,29,12.89,3.00 (2.53-3.48),196,87.11,3.74 (3.46-4.02)
astrocytes 5,328.0,0.256,80.0,128,5,3.91,4.61 (3.67-5.55),123,96.09,3.51 (3.16-3.86)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.22,52.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,603.0,0.269,95.0,89,10,11.24,1.84 (0.90-2.79),79,88.76,2.93 (2.56-3.29)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,301.0,0.343,43.0,158,10,6.33,2.71 (1.73-3.69),148,93.67,4.41 (4.03-4.79)
astrocytes 15,1768.0,0.046,10.0,105,20,19.05,1.56 (1.23-1.89),85,80.95,3.64 (3.29-4.00)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,45.0,0.401,75.0,8,0,0.0,NA,8,100.0,NA
astrocytes 4,208.0,0.438,93.0,173,11,6.36,3.99 (3.43-4.56),162,93.64,3.78 (3.46-4.10)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,406.0,0.255,63.0,278,18,6.47,5.42 (4.84-6.01),260,93.53,4.25 (3.96-4.54)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
