tipo_celular,module_size,SPECC1_MM,SPECC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.157,18.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477.0,0.146,40.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141.0,0.107,19.0,166,11,6.63,1.85 (1.20-2.51),155,93.37,3.51 (3.26-3.77)
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,23,6.52,1.82 (1.26-2.38),330,93.48,4.07 (3.89-4.25)
GABA neurons expressing GLU receptors 22,1069.0,0.171,54.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247.0,0.167,71.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.244,93.0,133,17,12.78,2.25 (1.42-3.09),116,87.22,3.43 (3.11-3.76)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.368,77.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,221.0,0.415,92.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.148,58.0,125,2,1.6,4.56 (NA-NA),123,98.4,3.34 (3.02-3.67)
astrocytes 8,1266.0,0.084,53.0,66,22,33.33,2.07 (1.47-2.67),44,66.67,3.90 (3.47-4.34)
oligodendrocyte progenitor cells 12,708.0,0.101,46.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93)
oligodendrocytes 10,2107.0,0.247,81.0,358,22,6.15,1.69 (1.17-2.21),336,93.85,4.05 (3.86-4.23)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.096,58.0,105,8,7.62,1.57 (1.03-2.11),97,92.38,3.36 (3.01-3.71)
oligodendrocytes 16,81.0,0.13,4.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.389,99.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,255.0,0.197,65.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32)
oligodendrocytes 0,1186.0,0.164,81.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,813.0,0.227,96.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,854.0,0.13,84.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,804.0,0.162,62.0,84,9,10.71,2.06 (0.96-3.17),75,89.29,2.77 (2.42-3.12)
