tipo_celular,module_size,RSPRY1_MM,RSPRY1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.126,22.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,477.0,0.086,5.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.122,61.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.178,97.0,353,19,5.38,2.25 (1.59-2.91),334,94.62,3.99 (3.80-4.18)
GABA neurons expressing GLU receptors 22,1069.0,0.22,84.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,795.0,0.089,23.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,215.0,0.116,18.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.103,28.0,297,5,1.68,3.04 (2.03-4.05),292,98.32,3.68 (3.47-3.88)
oligodendrocytes 20,271.0,0.247,77.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.13,32.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,218.0,0.028,4.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.072,42.0,276,14,5.07,2.58 (1.88-3.29),262,94.93,3.59 (3.37-3.82)
oligodendrocytes 10,2107.0,0.098,28.0,358,19,5.31,2.25 (1.59-2.91),339,94.69,3.96 (3.77-4.16)
connective tissue cells 21,92.0,0.261,33.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.034,4.0,105,13,12.38,2.41 (1.71-3.10),92,87.62,3.34 (2.97-3.70)
oligodendrocytes 16,116.0,0.24,77.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,63.0,0.28,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.164,84.0,104,12,11.54,2.32 (1.59-3.04),92,88.46,2.94 (2.64-3.24)
oligodendrocytes 0,2078.0,0.149,98.0,238,8,3.36,2.44 (1.29-3.59),230,96.64,3.67 (3.44-3.89)
microglia 1,958.0,0.11,47.0,290,4,1.38,3.25 (2.40-4.09),286,98.62,3.82 (3.59-4.06)
oligodendrocytes 3,1003.0,0.087,41.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65)
oligodendrocytes 2,1630.0,0.127,23.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
