tipo_celular,module_size,VWA5A_MM,VWA5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,13,3.68,1.48 (0.86-2.10),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,714.0,0.116,12.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,380.0,0.217,81.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220.0,0.095,13.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.244,54.0,455,12,2.64,1.44 (0.77-2.11),443,97.36,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.069,34.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.172,88.0,122,4,3.28,0.85 (0.13-1.57),118,96.72,4.13 (3.74-4.51)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
