tipo_celular,module_size,DRAM2_MM,DRAM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.214,73.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,727.0,0.098,16.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.141,87.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.161,87.0,353,16,4.53,2.37 (1.25-3.49),337,95.47,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,1069.0,0.175,57.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685.0,0.039,2.0,135,8,5.93,2.01 (1.07-2.95),127,94.07,3.28 (2.96-3.59)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.049,1.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,298.0,0.077,30.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402.0,0.111,12.0,455,16,3.52,2.79 (1.67-3.91),439,96.48,4.42 (4.24-4.60)
astrocytes 8,603.0,0.025,2.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,9,3.26,2.73 (1.48-3.98),267,96.74,3.58 (3.36-3.80)
oligodendrocytes 10,2107.0,0.18,62.0,358,18,5.03,2.13 (1.11-3.16),340,94.97,3.99 (3.80-4.17)
connective tissue cells 21,106.0,0.258,29.0,9,2,22.22,3.37 (-2.73-9.48),7,77.78,4.02 (1.01-7.03)
astrocytes 15,1401.0,0.027,3.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,156.0,0.223,68.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.328,67.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.15,61.0,104,5,4.81,1.64 (0.29-3.00),99,95.19,2.93 (2.65-3.21)
oligodendrocytes 0,2078.0,0.123,67.0,238,5,2.1,4.02 (1.91-6.12),233,97.9,3.63 (3.41-3.85)
microglia 1,1615.0,0.152,90.0,161,15,9.32,2.38 (1.18-3.57),146,90.68,3.39 (3.13-3.64)
oligodendrocytes 3,639.0,0.08,36.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.143,53.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
