tipo_celular,module_size,SCAMP1_MM,SCAMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.171,59.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22)
T cells 18,624,0.123,27.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.142,66.0,166,5,3.01,1.54 (-0.63-3.71),161,96.99,3.45 (3.20-3.69)
oligodendrocyte progenitor cells 7,628,0.124,19.0,164,9,5.49,3.29 (2.43-4.14),155,94.51,4.13 (3.79-4.47)
GABA neurons expressing GLU receptors 22,400,0.301,90.0,24,13,54.17,1.78 (1.04-2.51),11,45.83,2.60 (1.98-3.23)
GLU like neurons 17,1316,0.132,58.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,137,0.323,64.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,265,0.106,14.0,78,15,19.23,3.11 (2.73-3.48),63,80.77,4.70 (4.23-5.18)
endothelial cells 9,658,0.214,56.0,120,5,4.17,2.65 (2.22-3.08),115,95.83,4.71 (4.39-5.02)
oligodendrocytes 20,295,0.045,8.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402,0.371,76.0,455,30,6.59,2.89 (2.29-3.49),425,93.41,4.48 (4.29-4.67)
astrocytes 8,727,0.115,55.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.089,63.0,276,15,5.43,3.07 (2.44-3.71),261,94.57,3.58 (3.35-3.81)
oligodendrocytes 10,735,0.145,73.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,77,0.209,16.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,1768,0.099,61.0,105,10,9.52,2.48 (1.58-3.39),95,90.48,3.30 (2.94-3.65)
oligodendrocytes 16,105,0.199,40.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,448,0.118,67.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,58,0.35,69.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,787,0.172,84.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.121,65.0,238,6,2.52,2.89 (1.58-4.20),232,97.48,3.66 (3.44-3.88)
microglia 1,346,0.125,34.0,43,3,6.98,3.73 (3.39-4.08),40,93.02,3.77 (3.22-4.32)
oligodendrocytes 3,743,0.084,55.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,921,0.139,53.0,200,7,3.5,3.25 (2.34-4.16),193,96.5,3.64 (3.36-3.91)
