tipo_celular,module_size,ME3_MM,ME3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.162,46.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285.0,0.149,70.0,353,21,5.95,1.61 (1.14-2.09),332,94.05,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,459.0,0.094,17.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1316.0,0.213,95.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,132.0,0.098,13.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.135,24.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.19,42.0,306,1,0.33,0.21 (NA-NA),305,99.67,5.12 (4.85-5.38)
astrocytes 8,1266.0,0.092,61.0,66,9,13.64,1.10 (0.50-1.70),57,86.36,3.62 (3.23-4.02)
oligodendrocyte progenitor cells 12,3303.0,0.119,89.0,276,12,4.35,2.03 (1.53-2.53),264,95.65,3.63 (3.41-3.86)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.347,82.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261.0,0.098,21.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.099,32.0,235,26,11.06,3.20 (2.57-3.83),209,88.94,4.09 (3.82-4.35)
astrocytes microglia 23,107.0,0.265,17.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA
astrocytes 4,721.0,0.138,26.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
