tipo_celular,module_size,NAV3_MM,NAV3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.576,96.0,140,13,9.29,4.88 (4.08-5.69),127,90.71,4.52 (4.22-4.82)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,156.0,0.331,96.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.145,61.0,219,6,2.74,4.50 (2.41-6.60),213,97.26,5.23 (4.94-5.52)
GABA neurons expressing GLU receptors 22,823.0,0.271,91.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,489.0,0.279,88.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,265.0,0.279,83.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.254,62.0,74,8,10.81,4.36 (3.27-5.44),66,89.19,5.62 (5.02-6.22)
oligodendrocytes 20,233.0,0.181,46.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,1300.0,0.314,91.0,306,28,9.15,3.54 (2.76-4.32),278,90.85,5.28 (5.01-5.55)
astrocytes 8,260.0,0.437,100.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,411.0,0.21,60.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97)
oligodendrocytes 10,1277.0,0.311,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.232,36.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,418.0,0.181,56.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,149.0,0.239,59.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.232,41.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,161.0,0.388,98.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,309.0,0.276,96.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,315.0,0.333,94.0,144,6,4.17,4.45 (3.25-5.65),138,95.83,4.46 (4.14-4.78)
oligodendrocytes 3,639.0,0.106,58.0,15,4,26.67,0.82 (-0.10-1.74),11,73.33,4.42 (3.01-5.83)
oligodendrocytes 2,348.0,0.18,42.0,114,12,10.53,4.85 (4.39-5.31),102,89.47,5.16 (4.69-5.64)
