tipo_celular,module_size,SCYL3_MM,SCYL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.118,53.0,136,2,1.47,3.53 (3.11-3.95),134,98.53,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,12,3.4,1.24 (0.55-1.92),341,96.6,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,459.0,0.108,25.0,165,1,0.61,NA,164,99.39,5.06 (4.72-5.41)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.084,10.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.037,7.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.069,37.0,276,4,1.45,2.01 (0.90-3.13),272,98.55,3.57 (3.35-3.79)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152.0,0.162,10.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,458.0,0.037,9.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.281,27.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.141,43.0,104,6,5.77,1.72 (0.49-2.94),98,94.23,2.94 (2.66-3.22)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
