tipo_celular,module_size,BCR_MM,BCR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.184,67.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,932.0,0.168,97.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.083,3.0,353,29,8.22,2.37 (1.81-2.94),324,91.78,4.07 (3.88-4.26)
GABA neurons expressing GLU receptors 22,599.0,0.221,57.0,22,2,9.09,2.36 (-0.42-5.14),20,90.91,2.23 (1.38-3.08)
GLU like neurons 17,685.0,0.181,72.0,135,26,19.26,2.73 (2.05-3.41),109,80.74,3.29 (2.95-3.63)
da like neurons 11,853.0,0.158,67.0,133,13,9.77,2.42 (1.47-3.37),120,90.23,3.36 (3.04-3.69)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.15,30.0,120,40,33.33,4.09 (3.59-4.59),80,66.67,4.89 (4.50-5.28)
oligodendrocytes 20,938.0,0.091,32.0,169,12,7.1,2.34 (1.30-3.37),157,92.9,3.55 (3.33-3.77)
GABA like neurons 14,2090.0,0.277,97.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,1266.0,0.256,98.0,66,21,31.82,3.04 (2.32-3.76),45,68.18,3.33 (2.81-3.85)
oligodendrocyte progenitor cells 12,218.0,0.412,97.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107.0,0.083,19.0,358,35,9.78,2.41 (1.86-2.95),323,90.22,4.07 (3.88-4.27)
connective tissue cells 21,118.0,0.325,59.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1401.0,0.191,96.0,96,3,3.12,3.67 (2.90-4.44),93,96.88,3.61 (3.14-4.08)
oligodendrocytes 16,112.0,0.202,72.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,398.0,0.073,5.0,138,43,31.16,4.39 (3.73-5.05),95,68.84,5.07 (4.63-5.50)
astrocytes microglia 23,190.0,0.231,26.0,7,5,71.43,4.73 (3.06-6.41),2,28.57,5.05 (4.37-5.72)
astrocytes 4,251.0,0.139,32.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06)
oligodendrocytes 0,613.0,0.076,2.0,127,1,0.79,1.01 (NA-NA),126,99.21,3.08 (2.66-3.49)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.098,30.0,6,3,50.0,5.51 (4.83-6.19),3,50.0,6.46 (4.67-8.25)
oligodendrocytes 2,1630.0,0.143,51.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
