tipo_celular,module_size,TM9SF3_MM,TM9SF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.175,31.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,727,0.131,39.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.119,31.0,166,1,0.6,0.21 (NA-NA),165,99.4,3.41 (3.16-3.66)
oligodendrocyte progenitor cells 7,628,0.146,36.0,164,3,1.83,3.77 (1.34-6.20),161,98.17,4.09 (3.76-4.42)
GABA neurons expressing GLU receptors 22,487,0.15,20.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,380,0.137,25.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,172,0.221,48.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,90,0.264,98.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,559,0.071,9.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938,0.11,42.0,169,4,2.37,2.54 (0.92-4.15),165,97.63,3.51 (3.29-3.73)
GABA like neurons 14,2402,0.217,47.0,455,4,0.88,4.00 (3.27-4.73),451,99.12,4.35 (4.16-4.53)
astrocytes 8,771,0.07,26.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303,0.112,84.0,276,1,0.36,2.00 (NA-NA),275,99.64,3.55 (3.33-3.77)
oligodendrocytes 10,735,0.133,70.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,104,0.208,14.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768,0.1,63.0,105,4,3.81,2.48 (0.92-4.04),101,96.19,3.24 (2.90-3.59)
oligodendrocytes 16,86,0.252,86.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.097,35.0,122,7,5.74,2.42 (1.42-3.41),115,94.26,4.12 (3.71-4.52)
astrocytes microglia 23,94,0.36,66.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.151,50.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.143,50.0,127,4,3.15,3.36 (2.81-3.90),123,96.85,3.03 (2.60-3.47)
microglia 1,480,0.13,18.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,743,0.088,60.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.192,44.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75)
