tipo_celular,module_size,TTC3_MM,TTC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.146,41.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.108,24.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141,0.165,88.0,166,35,21.08,2.72 (2.23-3.20),131,78.92,3.59 (3.30-3.87)
oligodendrocyte progenitor cells 7,436,0.11,37.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,192,0.239,84.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,795,0.1,29.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,108,0.105,16.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,238,0.244,83.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.114,39.0,297,11,3.7,4.06 (3.15-4.97),286,96.3,3.66 (3.46-3.87)
oligodendrocytes 20,271,0.154,40.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300,0.094,8.0,306,6,1.96,2.45 (1.47-3.43),300,98.04,5.17 (4.91-5.43)
astrocytes 8,771,0.086,34.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,254,0.195,30.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,130,0.271,25.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,136,0.212,11.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.148,90.0,105,23,21.9,2.46 (1.97-2.94),82,78.1,3.45 (3.05-3.85)
oligodendrocytes 16,82,0.129,10.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.271,94.0,124,12,9.68,3.48 (2.20-4.76),112,90.32,4.24 (3.83-4.65)
astrocytes microglia 23,166,0.155,5.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25)
astrocytes 4,752,0.146,39.0,96,8,8.33,3.60 (1.91-5.28),88,91.67,3.27 (2.93-3.60)
oligodendrocytes 0,1186,0.112,10.0,300,1,0.33,NA,299,99.67,3.79 (3.59-4.00)
microglia 1,813,0.123,59.0,79,1,1.27,4.40 (NA-NA),78,98.73,3.08 (2.68-3.49)
oligodendrocytes 3,357,0.178,87.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44)
oligodendrocytes 2,804,0.151,50.0,84,24,28.57,3.21 (2.61-3.82),60,71.43,2.48 (2.09-2.87)
