tipo_celular,module_size,ALDH7A1_MM,ALDH7A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.114,24.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,18,5.1,1.54 (1.01-2.08),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,599.0,0.337,92.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,229.0,0.256,85.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,71.0,0.115,26.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.076,7.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,275.0,0.266,72.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.142,53.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.171,82.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.092,66.0,276,10,3.62,1.99 (1.43-2.55),266,96.38,3.61 (3.39-3.83)
oligodendrocytes 10,1277.0,0.07,24.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.22,14.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,443.0,0.146,44.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,82.0,0.118,5.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.208,16.0,57,1,1.75,NA,56,98.25,2.65 (2.29-3.01)
astrocytes 4,514.0,0.121,10.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,2078.0,0.116,53.0,238,3,1.26,1.95 (0.21-3.69),235,98.74,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.046,5.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,1630.0,0.119,13.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
