tipo_celular,module_size,ENPP4_MM,ENPP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,393.0,0.137,39.0,59,1,1.69,2.86 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,1656.0,0.178,100.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.163,88.0,353,18,5.1,1.50 (0.87-2.13),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,848.0,0.095,5.0,262,25,9.54,2.76 (2.06-3.47),237,90.46,4.28 (4.03-4.53)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.073,4.0,410,26,6.34,3.21 (2.73-3.68),384,93.66,4.31 (4.11-4.50)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.13,39.0,155,3,1.94,3.77 (2.91-4.64),152,98.06,4.35 (3.98-4.73)
oligodendrocytes 20,271.0,0.184,56.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402.0,0.194,40.0,455,33,7.25,2.29 (1.68-2.91),422,92.75,4.50 (4.31-4.68)
astrocytes 8,771.0,0.095,39.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.05,10.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806.0,0.063,12.0,261,19,7.28,2.83 (2.24-3.43),242,92.72,4.44 (4.19-4.69)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.248,93.0,14,4,28.57,0.49 (0.40-0.58),10,71.43,2.84 (1.34-4.34)
oligodendrocytes 16,86.0,0.159,32.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.115,56.0,122,19,15.57,1.87 (1.29-2.46),103,84.43,4.39 (4.00-4.79)
astrocytes microglia 23,103.0,0.355,73.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.201,100.0,104,10,9.62,1.52 (0.84-2.19),94,90.38,3.02 (2.73-3.31)
oligodendrocytes 0,309.0,0.151,70.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.14,91.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528.0,0.264,77.0,175,21,12.0,3.15 (2.55-3.75),154,88.0,4.50 (4.12-4.87)
