tipo_celular,module_size,ABHD5_MM,ABHD5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.114,21.0,353,38,10.76,2.47 (1.92-3.03),315,89.24,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,400.0,0.434,98.0,24,12,50.0,1.82 (0.94-2.70),12,50.0,2.49 (2.00-2.98)
GLU like neurons 17,1316.0,0.128,54.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,289.0,0.126,24.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.131,70.0,275,30,10.91,1.97 (1.52-2.42),245,89.09,4.32 (4.06-4.58)
oligodendrocytes 20,295.0,0.189,50.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.175,79.0,125,5,4.0,4.88 (3.82-5.95),120,96.0,3.27 (2.94-3.60)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.092,38.0,25,3,12.0,3.10 (0.14-6.06),22,88.0,2.83 (1.77-3.89)
oligodendrocytes 10,1277.0,0.067,22.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,118.0,0.269,34.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.15,12.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.38,58.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.122,27.0,127,5,3.94,2.77 (2.03-3.52),122,96.06,3.07 (2.63-3.51)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.104,66.0,76,2,2.63,2.58 (-2.07-7.23),74,97.37,2.79 (2.46-3.11)
oligodendrocytes 2,921.0,0.168,90.0,200,2,1.0,1.66 (0.99-2.32),198,99.0,3.65 (3.38-3.91)
