tipo_celular,module_size,PRKAG1_MM,PRKAG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.306,85.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.097,23.0,136,6,4.41,1.93 (1.02-2.83),130,95.59,3.28 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,61,17.28,2.39 (2.06-2.73),292,82.72,4.31 (4.13-4.50)
GABA neurons expressing GLU receptors 22,714.0,0.106,9.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,265.0,0.119,21.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,338.0,0.062,5.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,938.0,0.115,44.0,169,20,11.83,3.27 (2.70-3.83),149,88.17,3.51 (3.28-3.75)
GABA like neurons 14,2402.0,0.09,6.0,455,47,10.33,2.67 (2.25-3.10),408,89.67,4.62 (4.43-4.80)
astrocytes 8,260.0,0.061,14.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,3303.0,0.042,8.0,276,58,21.01,2.57 (2.28-2.86),218,78.99,3.91 (3.66-4.17)
oligodendrocytes 10,735.0,0.05,13.0,277,9,3.25,3.95 (3.70-4.19),268,96.75,3.89 (3.64-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.032,4.0,105,25,23.81,2.10 (1.60-2.60),80,76.19,3.60 (3.22-3.98)
oligodendrocytes 16,158.0,0.299,90.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,228.0,0.062,7.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,125.0,0.313,46.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77)
astrocytes 4,1807.0,0.125,17.0,104,29,27.88,1.92 (1.56-2.28),75,72.12,3.27 (2.94-3.60)
oligodendrocytes 0,2078.0,0.074,2.0,238,17,7.14,2.95 (2.30-3.60),221,92.86,3.70 (3.47-3.93)
microglia 1,958.0,0.087,15.0,290,11,3.79,2.69 (1.74-3.64),279,96.21,3.87 (3.64-4.10)
oligodendrocytes 3,639.0,0.05,8.0,15,7,46.67,1.49 (0.55-2.43),8,53.33,5.44 (4.03-6.86)
oligodendrocytes 2,1630.0,0.13,27.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
