tipo_celular,module_size,POLI_MM,POLI_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.364,96.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.17,100.0,136,4,2.94,2.51 (0.74-4.28),132,97.06,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.168,92.0,353,38,10.76,1.82 (1.42-2.23),315,89.24,4.17 (4.00-4.35)
GABA neurons expressing GLU receptors 22,567.0,0.3,81.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.066,7.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.07,32.0,18,10,55.56,1.12 (0.57-1.68),8,44.44,2.82 (1.76-3.89)
GABA like neurons 14,3052.0,0.132,43.0,125,3,2.4,3.81 (2.47-5.14),122,97.6,3.34 (3.01-3.67)
astrocytes 8,140.0,0.065,29.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,27,9.78,2.17 (1.74-2.60),249,90.22,3.73 (3.50-3.95)
oligodendrocytes 10,2107.0,0.059,9.0,358,39,10.89,1.93 (1.48-2.39),319,89.11,4.14 (3.96-4.33)
connective tissue cells 21,84.0,0.21,14.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367.0,0.284,98.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,75.0,0.174,33.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.382,82.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,1807.0,0.172,92.0,104,23,22.12,1.74 (1.35-2.13),81,77.88,3.18 (2.87-3.48)
oligodendrocytes 0,2078.0,0.132,85.0,238,8,3.36,2.64 (1.65-3.63),230,96.64,3.68 (3.45-3.90)
microglia 1,1615.0,0.114,58.0,161,32,19.88,1.73 (1.34-2.12),129,80.12,3.73 (3.45-4.00)
oligodendrocytes 3,854.0,0.072,28.0,76,2,2.63,1.99 (-1.51-5.49),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,1630.0,0.176,97.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51)
