tipo_celular,module_size,CALCOCO1_MM,CALCOCO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.176,59.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.095,20.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.152,75.0,353,48,13.6,1.99 (1.67-2.31),305,86.4,4.28 (4.10-4.45)
GABA neurons expressing GLU receptors 22,703.0,0.083,5.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,300.0,0.237,84.0,16,1,6.25,5.16 (NA-NA),15,93.75,1.84 (1.07-2.61)
da like neurons 11,853.0,0.129,50.0,133,40,30.08,1.98 (1.67-2.29),93,69.92,3.95 (3.59-4.32)
GABA neurons expressing GABA receptors 13,265.0,0.07,2.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,1653.0,0.061,4.0,297,2,0.67,5.16 (NA-NA),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,938.0,0.048,12.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2402.0,0.152,26.0,455,15,3.3,0.87 (0.66-1.08),440,96.7,4.51 (4.33-4.68)
astrocytes 8,260.0,0.065,15.0,4,3,75.0,1.99 (0.00-3.99),1,25.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.049,14.0,276,40,14.49,2.09 (1.79-2.39),236,85.51,3.87 (3.64-4.10)
oligodendrocytes 10,1277.0,0.073,25.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,139.0,0.409,93.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401.0,0.039,8.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,96.0,0.288,75.0,102,10,9.8,1.11 (0.89-1.33),92,90.2,3.65 (3.33-3.97)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,42.0,0.324,44.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.152,64.0,104,21,20.19,1.72 (1.21-2.24),83,79.81,3.18 (2.89-3.47)
oligodendrocytes 0,2078.0,0.13,82.0,238,15,6.3,2.53 (1.98-3.08),223,93.7,3.72 (3.49-3.95)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.077,43.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.165,90.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
