tipo_celular,module_size,TGS1_MM,TGS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125.0,0.453,100.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,518.0,0.096,12.0,131,5,3.82,3.17 (3.09-3.26),126,96.18,3.07 (2.78-3.36)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,49,13.88,2.19 (1.84-2.55),304,86.12,4.26 (4.08-4.44)
GABA neurons expressing GLU receptors 22,823.0,0.137,24.0,23,3,13.04,2.35 (1.04-3.67),20,86.96,2.40 (1.56-3.25)
GLU like neurons 17,1316.0,0.105,33.0,101,4,3.96,2.80 (2.61-2.99),97,96.04,3.07 (2.70-3.43)
da like neurons 11,197.0,0.1,9.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.06,28.0,110,1,0.91,1.74 (NA-NA),109,99.09,5.03 (4.59-5.48)
GABA like neurons 14,3052.0,0.17,75.0,125,2,1.6,4.08 (1.96-6.21),123,98.4,3.34 (3.01-3.66)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,218.0,0.045,13.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107.0,0.155,53.0,358,48,13.41,2.04 (1.69-2.39),310,86.59,4.23 (4.05-4.42)
connective tissue cells 21,111.0,0.353,79.0,26,2,7.69,2.60 (2.45-2.75),24,92.31,2.52 (1.78-3.25)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,156.0,0.279,90.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,58.0,0.337,57.0,6,0,0.0,NA,6,100.0,5.75 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.101,24.0,238,9,3.78,2.82 (1.78-3.85),229,96.22,3.67 (3.45-3.90)
microglia 1,813.0,0.075,5.0,79,5,6.33,4.83 (4.18-5.48),74,93.67,3.03 (2.62-3.44)
oligodendrocytes 3,681.0,0.036,2.0,87,24,27.59,1.69 (1.34-2.04),63,72.41,2.97 (2.66-3.27)
oligodendrocytes 2,1630.0,0.115,9.0,154,3,1.95,4.67 (3.69-5.64),151,98.05,3.22 (2.96-3.49)
