tipo_celular,module_size,SLCO1A2_MM,SLCO1A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,165.0,0.3,77.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.274,65.0,74,1,1.35,NA,73,98.65,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.368,64.0,110,1,0.91,NA,109,99.09,4.99 (4.54-5.44)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.591,96.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,236.0,0.504,54.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,183.0,0.402,86.0,32,1,3.12,4.07 (NA-NA),31,96.88,5.16 (4.50-5.81)
astrocytes 15,458.0,0.388,95.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287.0,0.36,65.0,105,3,2.86,3.31 (1.78-4.84),102,97.14,5.15 (4.70-5.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,54.0,0.334,50.0,29,0,0.0,NA,29,100.0,6.71 (6.06-7.37)
astrocytes 4,102.0,0.219,59.0,42,2,4.76,NA,40,95.24,5.68 (4.96-6.40)
oligodendrocytes 0,117.0,0.203,80.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.21,29.0,45,2,4.44,2.53 (2.34-2.73),43,95.56,4.46 (3.57-5.36)
oligodendrocytes 2,348.0,0.304,82.0,114,2,1.75,2.53 (2.34-2.73),112,98.25,5.18 (4.77-5.59)
