tipo_celular,module_size,FLVCR1_MM,FLVCR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.146,68.0,353,17,4.82,1.22 (0.76-1.67),336,95.18,4.07 (3.89-4.24)
GABA neurons expressing GLU receptors 22,823.0,0.189,56.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316.0,0.071,8.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,142.0,0.14,25.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.302,83.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052.0,0.181,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,138.0,0.019,0.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,735.0,0.061,20.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,100.0,0.356,84.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,91.0,0.239,77.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,448.0,0.093,39.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,121.0,0.315,50.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.092,11.0,238,2,0.84,1.10 (-0.65-2.86),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.051,4.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.138,43.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
