tipo_celular,module_size,TOPORS_MM,TOPORS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,86,24.36,2.46 (2.18-2.75),267,75.64,4.41 (4.23-4.60)
GABA neurons expressing GLU receptors 22,703.0,0.144,27.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.116,60.0,275,72,26.18,2.61 (2.27-2.95),203,73.82,4.70 (4.41-4.98)
oligodendrocytes 20,676.0,0.058,27.0,110,23,20.91,3.74 (2.95-4.53),87,79.09,5.42 (4.93-5.92)
GABA like neurons 14,3052.0,0.06,3.0,125,12,9.6,3.63 (3.06-4.19),113,90.4,3.33 (2.99-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.08,52.0,276,72,26.09,2.58 (2.28-2.87),204,73.91,3.95 (3.69-4.20)
oligodendrocytes 10,483.0,0.032,3.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82)
connective tissue cells 21,73.0,0.268,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.263,74.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.398,88.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.109,15.0,127,21,16.54,2.42 (2.03-2.81),106,83.46,3.23 (2.72-3.75)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.079,37.0,127,2,1.57,2.33 (NA-NA),125,98.43,3.13 (2.79-3.46)
oligodendrocytes 2,1630.0,0.182,99.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
