tipo_celular,module_size,ZNF586_MM,ZNF586_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,477.0,0.158,48.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932.0,0.141,85.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.131,43.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.102,10.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1247.0,0.295,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.142,58.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.126,48.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,938.0,0.049,12.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2090.0,0.232,91.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,1266.0,0.15,88.0,66,7,10.61,0.61 (0.34-0.88),59,89.39,3.59 (3.22-3.97)
oligodendrocyte progenitor cells 12,411.0,0.035,8.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107.0,0.101,29.0,358,38,10.61,1.53 (1.28-1.79),320,89.39,4.25 (4.07-4.43)
connective tissue cells 21,100.0,0.368,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.062,35.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,64.0,0.169,39.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.31,46.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,721.0,0.211,100.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.118,58.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.069,25.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,407.0,0.191,81.0,122,35,28.69,1.63 (1.36-1.91),87,71.31,4.30 (3.88-4.73)
