tipo_celular,module_size,KIN_MM,KIN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.29,87.0,21,12,57.14,1.57 (0.94-2.20),9,42.86,3.39 (2.59-4.20)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,37,10.48,1.89 (1.50-2.28),316,89.52,4.20 (4.03-4.38)
GABA neurons expressing GLU receptors 22,703.0,0.096,8.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1316.0,0.104,33.0,101,1,0.99,2.83 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.062,8.0,275,35,12.73,1.83 (1.47-2.19),240,87.27,4.43 (4.17-4.69)
oligodendrocytes 20,275.0,0.49,98.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402.0,0.193,39.0,455,25,5.49,1.66 (1.24-2.09),430,94.51,4.56 (4.39-4.74)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.061,27.0,276,28,10.14,1.96 (1.64-2.27),248,89.86,3.79 (3.56-4.01)
oligodendrocytes 10,2107.0,0.099,28.0,358,37,10.34,1.82 (1.47-2.18),321,89.66,4.19 (4.01-4.38)
connective tissue cells 21,90.0,0.392,90.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.187,60.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,41.0,0.453,93.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.1,22.0,238,6,2.52,2.12 (1.24-3.00),232,97.48,3.68 (3.46-3.91)
microglia 1,1615.0,0.078,8.0,161,32,19.88,1.59 (1.26-1.93),129,80.12,3.81 (3.55-4.07)
oligodendrocytes 3,854.0,0.056,11.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,1630.0,0.107,5.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
