tipo_celular,module_size,PPP1CA_MM,PPP1CA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.279,74.0,225,23,10.22,2.74 (2.08-3.41),202,89.78,3.71 (3.45-3.98)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.187,43.0,302,7,2.32,2.97 (1.76-4.19),295,97.68,4.01 (3.78-4.24)
oligodendrocytes 20,358.0,0.191,67.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.175,68.0,129,8,6.2,3.94 (3.40-4.48),121,93.8,3.39 (2.97-3.81)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.37,99.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.081,13.0,182,6,3.3,2.01 (0.94-3.08),176,96.7,3.71 (3.45-3.96)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.108,15.0,252,31,12.3,1.95 (1.42-2.47),221,87.7,4.43 (4.19-4.67)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.051,9.0,76,3,3.95,6.11 (3.96-8.27),73,96.05,3.02 (2.65-3.40)
oligodendrocytes 2,526.0,0.169,20.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25)
