tipo_celular,module_size,SMARCD3_MM,SMARCD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.078,9.0,80,9,11.25,4.78 (4.26-5.30),71,88.75,3.52 (3.07-3.97)
oligodendrocyte progenitor cells 7,4285.0,0.099,9.0,353,80,22.66,2.52 (2.24-2.81),273,77.34,4.44 (4.25-4.63)
GABA neurons expressing GLU receptors 22,1069.0,0.139,31.0,37,6,16.22,2.60 (1.48-3.71),31,83.78,2.07 (1.57-2.57)
GLU like neurons 17,489.0,0.181,72.0,42,3,7.14,5.19 (4.84-5.54),39,92.86,6.08 (5.47-6.69)
da like neurons 11,109.0,0.102,9.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.153,49.0,74,23,31.08,2.96 (2.43-3.49),51,68.92,2.93 (2.44-3.43)
astrocytes 8,603.0,0.085,56.0,89,7,7.87,1.39 (0.90-1.89),82,92.13,2.93 (2.56-3.29)
oligodendrocyte progenitor cells 12,143.0,0.072,14.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,139.0,0.277,33.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,338.0,0.067,7.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.098,21.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96)
astrocytes microglia 23,103.0,0.316,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.16,67.0,61,3,4.92,2.14 (1.35-2.93),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
