tipo_celular,module_size,BLCAP_MM,BLCAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.191,32.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282,0.113,26.0,241,1,0.41,5.98 (NA-NA),240,99.59,4.04 (3.79-4.29)
astrocytes 5,228,0.098,8.0,266,3,1.13,1.81 (1.67-1.94),263,98.87,4.15 (3.93-4.36)
oligodendrocyte progenitor cells 7,4285,0.139,57.0,353,5,1.42,1.23 (0.54-1.93),348,98.58,3.94 (3.75-4.12)
GABA neurons expressing GLU receptors 22,848,0.117,11.0,262,4,1.53,1.06 (0.28-1.84),258,98.47,4.23 (3.98-4.47)
GLU like neurons 17,1316,0.179,88.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.165,44.0,410,4,0.98,3.34 (1.52-5.16),406,99.02,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,200,0.165,58.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,338,0.115,43.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,403,0.138,56.0,18,0,0.0,NA,18,100.0,1.88 (1.20-2.56)
GABA like neurons 14,2402,0.448,84.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,520,0.108,46.0,288,1,0.35,0.55 (NA-NA),287,99.65,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,153,0.056,11.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,806,0.209,65.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,101,0.278,52.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401,0.026,2.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,105,0.263,75.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,448,0.165,88.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,140,0.306,49.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.15,61.0,104,3,2.88,0.90 (-0.14-1.94),101,97.12,2.93 (2.65-3.20)
oligodendrocytes 0,2078,0.099,19.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615,0.084,15.0,161,3,1.86,0.90 (-0.14-1.94),158,98.14,3.33 (3.06-3.59)
oligodendrocytes 3,457,0.088,33.0,345,2,0.58,1.74 (1.73-1.75),343,99.42,4.29 (4.09-4.50)
oligodendrocytes 2,1630,0.139,45.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
