tipo_celular,module_size,GNA12_MM,GNA12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.217,64.0,102,26,25.49,2.79 (2.23-3.36),76,74.51,3.74 (3.31-4.18)
T cells 18,610.0,0.2,80.0,98,22,22.45,2.57 (1.98-3.16),76,77.55,3.29 (2.93-3.65)
astrocytes 5,423.0,0.164,59.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,448.0,0.117,31.0,108,1,0.93,7.59 (NA-NA),107,99.07,3.20 (2.77-3.63)
GABA neurons expressing GLU receptors 22,459.0,0.105,23.0,165,14,8.48,2.56 (1.96-3.15),151,91.52,5.42 (5.08-5.75)
GLU like neurons 17,685.0,0.103,31.0,135,30,22.22,2.39 (1.85-2.93),105,77.78,3.38 (3.03-3.73)
da like neurons 11,109.0,0.199,42.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.115,27.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,330.0,0.21,62.0,36,5,13.89,2.08 (1.15-3.02),31,86.11,1.89 (1.51-2.27)
GABA like neurons 14,2090.0,0.117,24.0,74,2,2.7,2.22 (1.63-2.82),72,97.3,2.96 (2.58-3.35)
astrocytes 8,283.0,0.211,82.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,143.0,0.446,63.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107.0,0.109,33.0,358,31,8.66,2.59 (2.04-3.14),327,91.34,4.02 (3.82-4.22)
connective tissue cells 21,106.0,0.278,49.0,4,1,25.0,NA,3,75.0,4.98 (4.91-5.06)
astrocytes 15,1401.0,0.143,87.0,96,5,5.21,3.90 (1.87-5.94),91,94.79,3.60 (3.14-4.06)
oligodendrocytes 16,151.0,0.194,52.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.295,38.0,120,29,24.17,2.54 (2.00-3.08),91,75.83,3.90 (3.58-4.23)
astrocytes 4,514.0,0.19,54.0,95,7,7.37,2.53 (0.92-4.14),88,92.63,3.46 (3.03-3.89)
oligodendrocytes 0,2078.0,0.103,27.0,238,4,1.68,2.81 (0.91-4.70),234,98.32,3.65 (3.43-3.87)
microglia 1,480.0,0.32,88.0,163,21,12.88,4.15 (3.55-4.74),142,87.12,3.65 (3.36-3.94)
oligodendrocytes 3,94.0,0.066,31.0,7,1,14.29,NA,6,85.71,5.62 (2.52-8.73)
oligodendrocytes 2,1630.0,0.111,7.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
