tipo_celular,module_size,ZNF407_MM,ZNF407_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.18,62.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,610.0,0.154,52.0,98,24,24.49,1.63 (1.22-2.03),74,75.51,3.68 (3.37-3.99)
astrocytes 5,1141.0,0.164,88.0,166,24,14.46,1.94 (1.60-2.28),142,85.54,3.70 (3.43-3.96)
oligodendrocyte progenitor cells 7,4285.0,0.182,98.0,353,37,10.48,1.86 (1.56-2.17),316,89.52,4.21 (4.03-4.39)
GABA neurons expressing GLU receptors 22,1069.0,0.22,84.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,1316.0,0.073,9.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,209.0,0.433,94.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.196,89.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,322.0,0.112,44.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052.0,0.186,86.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.172,67.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.102,76.0,276,32,11.59,1.99 (1.74-2.23),244,88.41,3.82 (3.59-4.05)
oligodendrocytes 10,2107.0,0.287,88.0,358,45,12.57,1.87 (1.60-2.15),313,87.43,4.27 (4.08-4.45)
connective tissue cells 21,84.0,0.319,73.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367.0,0.193,80.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,84.0,0.212,76.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.194,19.0,47,6,12.77,2.16 (1.58-2.73),41,87.23,2.96 (2.60-3.32)
astrocytes 4,752.0,0.165,67.0,96,8,8.33,2.56 (2.19-2.93),88,91.67,3.37 (3.01-3.73)
oligodendrocytes 0,1186.0,0.155,67.0,300,6,2.0,3.24 (2.99-3.49),294,98.0,3.81 (3.60-4.02)
microglia 1,813.0,0.19,91.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.154,86.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804.0,0.173,72.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
