tipo_celular,module_size,GLMN_MM,GLMN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.303,94.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,518.0,0.161,56.0,131,4,3.05,3.75 (2.64-4.85),127,96.95,3.05 (2.77-3.33)
astrocytes 5,1656.0,0.13,73.0,136,6,4.41,2.38 (1.28-3.49),130,95.59,3.25 (2.97-3.53)
oligodendrocyte progenitor cells 7,4285.0,0.138,54.0,353,43,12.18,2.52 (2.11-2.92),310,87.82,4.14 (3.95-4.33)
GABA neurons expressing GLU receptors 22,703.0,0.246,82.0,23,2,8.7,3.81 (2.57-5.04),21,91.3,1.92 (1.18-2.66)
GLU like neurons 17,1316.0,0.093,21.0,101,4,3.96,4.35 (3.76-4.94),97,96.04,3.02 (2.66-3.37)
da like neurons 11,200.0,0.166,42.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,233.0,0.56,97.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052.0,0.155,64.0,125,2,1.6,3.81 (2.57-5.04),123,98.4,3.34 (3.01-3.67)
astrocytes 8,603.0,0.047,19.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28)
oligodendrocyte progenitor cells 12,708.0,0.03,3.0,32,6,18.75,1.80 (0.95-2.66),26,81.25,3.56 (2.64-4.48)
oligodendrocytes 10,2107.0,0.153,52.0,358,54,15.08,2.51 (2.14-2.89),304,84.92,4.19 (3.99-4.39)
connective tissue cells 21,69.0,0.324,65.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.15,91.0,105,30,28.57,2.61 (2.12-3.11),75,71.43,3.48 (3.06-3.90)
oligodendrocytes 16,81.0,0.207,69.0,3,1,33.33,NA,2,66.67,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.291,35.0,1,1,100.0,4.05 (NA-NA),0,0.0,NA
astrocytes 4,1807.0,0.15,60.0,104,18,17.31,1.91 (1.36-2.45),86,82.69,3.08 (2.78-3.39)
oligodendrocytes 0,2078.0,0.096,16.0,238,11,4.62,3.44 (2.61-4.27),227,95.38,3.65 (3.42-3.88)
microglia 1,813.0,0.089,15.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,854.0,0.068,23.0,76,2,2.63,2.43 (-1.93-6.79),74,97.37,2.79 (2.46-3.12)
oligodendrocytes 2,1630.0,0.105,5.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
