tipo_celular,module_size,MRPL51_MM,MRPL51_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.135,30.0,213,35,16.43,1.98 (1.59-2.36),178,83.57,4.25 (4.02-4.48)
endothelial cells 9,916.0,0.297,71.0,302,22,7.28,2.81 (2.37-3.26),280,92.72,4.11 (3.87-4.35)
oligodendrocytes 20,938.0,0.142,58.0,169,18,10.65,2.33 (1.82-2.85),151,89.35,3.65 (3.42-3.88)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.153,62.0,129,6,4.65,3.43 (2.70-4.16),123,95.35,3.43 (3.01-3.84)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.228,52.0,102,29,28.43,2.02 (1.66-2.38),73,71.57,4.05 (3.71-4.40)
da neurons 6,729.0,0.158,53.0,182,17,9.34,2.90 (2.37-3.43),165,90.66,3.73 (3.46-4.00)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.164,47.0,252,32,12.7,1.84 (1.46-2.22),220,87.3,4.55 (4.32-4.78)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.146,54.0,154,6,3.9,3.43 (2.70-4.16),148,96.1,3.63 (3.30-3.96)
oligodendrocytes 2,526.0,0.256,48.0,213,10,4.69,2.98 (2.43-3.53),203,95.31,4.04 (3.76-4.33)
