tipo_celular,module_size,TANC1_MM,TANC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.186,56.0,58,2,3.45,3.54 (-1.69-8.76),56,96.55,4.20 (3.79-4.61)
oligodendrocyte progenitor cells 7,666.0,0.054,2.0,127,6,4.72,2.22 (1.01-3.42),121,95.28,3.95 (3.61-4.29)
GABA neurons expressing GLU receptors 22,823.0,0.243,84.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,685.0,0.15,60.0,135,4,2.96,2.17 (-0.48-4.81),131,97.04,3.23 (2.92-3.53)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.373,90.0,120,2,1.67,5.23 (3.33-7.13),118,98.33,4.60 (4.28-4.92)
oligodendrocytes 20,676.0,0.337,60.0,110,9,8.18,3.34 (1.83-4.86),101,91.82,5.21 (4.76-5.65)
GABA like neurons 14,3052.0,0.066,4.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771.0,0.114,47.0,48,2,4.17,3.49 (-1.81-8.80),46,95.83,4.48 (3.72-5.24)
oligodendrocyte progenitor cells 12,254.0,0.237,37.0,37,2,5.41,6.35 (6.06-6.63),35,94.59,4.37 (3.78-4.96)
oligodendrocytes 10,130.0,0.583,86.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,91.0,0.172,3.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1401.0,0.183,95.0,96,1,1.04,3.41 (NA-NA),95,98.96,3.62 (3.16-4.07)
oligodendrocytes 16,153.0,0.331,39.0,14,1,7.14,6.20 (NA-NA),13,92.86,4.54 (3.80-5.29)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,253.0,0.28,67.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,171.0,0.188,57.0,22,1,4.55,7.70 (NA-NA),21,95.45,4.34 (3.46-5.23)
oligodendrocytes 0,261.0,0.178,43.0,42,6,14.29,1.74 (0.69-2.78),36,85.71,4.60 (3.93-5.26)
microglia 1,315.0,0.167,47.0,144,3,2.08,6.80 (5.90-7.69),141,97.92,4.40 (4.10-4.71)
oligodendrocytes 3,44.0,0.287,77.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,347.0,0.192,48.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
