tipo_celular,module_size,GGA1_MM,GGA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.175,48.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,282.0,0.231,84.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,932.0,0.083,11.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,45,12.75,2.93 (2.39-3.48),308,87.25,4.06 (3.87-4.25)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.039,1.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,408.0,0.052,1.0,25,3,12.0,1.72 (0.18-3.26),22,88.0,5.12 (3.73-6.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.061,5.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,330.0,0.139,35.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,2090.0,0.137,38.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.082,51.0,66,13,19.7,1.51 (0.90-2.13),53,80.3,3.73 (3.33-4.14)
oligodendrocyte progenitor cells 12,708.0,0.107,49.0,32,13,40.62,2.03 (1.15-2.91),19,59.38,4.16 (3.09-5.22)
oligodendrocytes 10,2107.0,0.09,23.0,358,40,11.17,2.95 (2.33-3.58),318,88.83,4.00 (3.81-4.20)
connective tissue cells 21,103.0,0.312,69.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,261.0,0.144,48.0,8,3,37.5,1.32 (-0.64-3.28),5,62.5,5.45 (3.66-7.23)
oligodendrocytes 16,155.0,0.236,62.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,78.0,0.26,12.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,721.0,0.157,60.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.116,53.0,238,9,3.78,3.20 (2.25-4.14),229,96.22,3.66 (3.43-3.88)
microglia 1,346.0,0.183,68.0,43,4,9.3,3.93 (3.47-4.39),39,90.7,3.75 (3.18-4.31)
oligodendrocytes 3,681.0,0.039,3.0,87,12,13.79,1.73 (1.09-2.37),75,86.21,2.72 (2.43-3.01)
oligodendrocytes 2,1630.0,0.138,42.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
