tipo_celular,module_size,ASAP3_MM,ASAP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.223,72.0,58,4,6.9,3.92 (1.92-5.91),54,93.1,4.20 (3.76-4.63)
oligodendrocyte progenitor cells 7,666.0,0.161,46.0,127,10,7.87,3.10 (1.79-4.41),117,92.13,3.91 (3.56-4.25)
GABA neurons expressing GLU receptors 22,599.0,0.279,80.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247.0,0.111,33.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.171,92.0,66,25,37.88,2.53 (1.88-3.18),41,62.12,3.77 (3.29-4.25)
oligodendrocyte progenitor cells 12,3303.0,0.118,89.0,276,14,5.07,2.41 (1.74-3.09),262,94.93,3.62 (3.40-3.85)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,95.0,0.375,88.0,4,1,25.0,5.16 (NA-NA),3,75.0,2.91 (2.68-3.14)
astrocytes 15,1401.0,0.187,96.0,96,12,12.5,4.54 (3.75-5.33),84,87.5,3.48 (2.98-3.97)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.281,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171.0,0.225,73.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
