tipo_celular,module_size,KCNQ1_MM,KCNQ1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.23,78.0,32,3,9.38,3.70 (0.83-6.57),29,90.62,3.73 (2.90-4.55)
T cells 18,610.0,0.212,86.0,98,12,12.24,1.26 (0.42-2.11),86,87.76,3.38 (3.09-3.68)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.133,28.0,164,8,4.88,3.26 (2.60-3.92),156,95.12,4.14 (3.80-4.49)
GABA neurons expressing GLU receptors 22,487.0,0.026,1.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685.0,0.089,20.0,135,15,11.11,2.05 (1.48-2.63),120,88.89,3.32 (3.00-3.65)
da like neurons 11,142.0,0.09,13.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.163,67.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.136,20.0,455,22,4.84,2.47 (1.75-3.19),433,95.16,4.47 (4.28-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.053,19.0,276,13,4.71,1.73 (1.24-2.22),263,95.29,3.64 (3.42-3.86)
oligodendrocytes 10,2107.0,0.212,72.0,358,19,5.31,1.21 (0.77-1.65),339,94.69,4.05 (3.87-4.24)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,81.0,0.177,50.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.404,100.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,86.0,0.152,45.0,2,0,0.0,NA,2,100.0,NA
microglia 1,315.0,0.162,46.0,144,10,6.94,3.48 (2.56-4.40),134,93.06,4.53 (4.22-4.85)
oligodendrocytes 3,743.0,0.094,66.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,347.0,0.136,14.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
