tipo_celular,module_size,DECR1_MM,DECR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.141,42.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,393.0,0.134,37.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1141.0,0.143,68.0,166,15,9.04,1.87 (1.32-2.43),151,90.96,3.58 (3.32-3.83)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,32,9.07,2.00 (1.45-2.55),321,90.93,4.14 (3.97-4.32)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1316.0,0.116,43.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,197.0,0.096,8.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.1,27.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,275.0,0.439,95.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052.0,0.178,82.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,727.0,0.11,51.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.07,38.0,276,27,9.78,2.22 (1.63-2.80),249,90.22,3.73 (3.51-3.95)
oligodendrocytes 10,2107.0,0.2,69.0,358,30,8.38,1.54 (1.18-1.91),328,91.62,4.16 (3.98-4.34)
connective tissue cells 21,114.0,0.265,40.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10)
astrocytes 15,377.0,0.167,63.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99)
oligodendrocytes 16,113.0,0.176,28.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.257,19.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752.0,0.162,63.0,96,1,1.04,2.64 (NA-NA),95,98.96,3.30 (2.97-3.63)
oligodendrocytes 0,2078.0,0.103,27.0,238,7,2.94,2.28 (1.45-3.11),231,97.06,3.69 (3.46-3.91)
microglia 1,1615.0,0.124,70.0,161,26,16.15,1.60 (1.19-2.01),135,83.85,3.68 (3.42-3.95)
oligodendrocytes 3,854.0,0.086,46.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630.0,0.12,14.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52)
