tipo_celular,module_size,WDR12_MM,WDR12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.129,72.0,136,7,5.15,2.25 (1.50-3.01),129,94.85,3.27 (2.99-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,36,10.2,1.74 (1.39-2.09),317,89.8,4.22 (4.04-4.39)
GABA neurons expressing GLU receptors 22,714.0,0.161,38.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,1316.0,0.131,57.0,101,3,2.97,2.87 (2.81-2.93),98,97.03,3.06 (2.70-3.42)
da like neurons 11,132.0,0.168,31.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,266.0,0.146,42.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,253.0,0.261,82.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402.0,0.162,29.0,455,29,6.37,2.46 (1.68-3.24),426,93.63,4.52 (4.34-4.70)
astrocytes 8,727.0,0.043,6.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,1049.0,0.023,1.0,235,8,3.4,5.40 (4.06-6.74),227,96.6,3.76 (3.53-3.99)
oligodendrocytes 10,483.0,0.05,10.0,129,8,6.2,6.19 (5.07-7.32),121,93.8,3.28 (2.90-3.67)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.034,5.0,105,17,16.19,1.46 (1.12-1.80),88,83.81,3.58 (3.24-3.93)
oligodendrocytes 16,86.0,0.207,68.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448.0,0.113,65.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,101.0,0.313,43.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.155,70.0,104,25,24.04,1.68 (1.35-2.01),79,75.96,3.28 (2.97-3.59)
oligodendrocytes 0,613.0,0.099,9.0,127,8,6.3,2.04 (1.44-2.64),119,93.7,3.16 (2.71-3.61)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.072,37.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,1630.0,0.137,41.0,154,4,2.6,5.22 (4.15-6.29),150,97.4,3.18 (2.92-3.45)
