tipo_celular,module_size,PPA2_MM,PPA2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.168,57.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610.0,0.081,6.0,98,12,12.24,1.08 (0.59-1.57),86,87.76,3.44 (3.14-3.74)
astrocytes 5,1141.0,0.152,78.0,166,8,4.82,1.44 (0.75-2.13),158,95.18,3.51 (3.26-3.76)
oligodendrocyte progenitor cells 7,448.0,0.188,78.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,567.0,0.276,77.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,380.0,0.162,42.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,153.0,0.387,91.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.163,75.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,298.0,0.258,84.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.172,33.0,306,5,1.63,2.20 (0.49-3.91),301,98.37,5.16 (4.90-5.42)
astrocytes 8,727.0,0.256,97.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,138.0,0.543,95.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,2107.0,0.261,84.0,358,15,4.19,1.12 (0.68-1.56),343,95.81,4.02 (3.84-4.21)
connective tissue cells 21,101.0,0.214,23.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,377.0,0.112,19.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,199.0,0.149,31.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,255.0,0.272,61.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,752.0,0.171,76.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.168,85.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.122,66.0,161,15,9.32,1.19 (0.74-1.64),146,90.68,3.54 (3.28-3.80)
oligodendrocytes 3,1003.0,0.162,88.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.15,26.0,114,1,0.88,2.92 (NA-NA),113,99.12,5.14 (4.73-5.55)
