tipo_celular,module_size,RNF13_MM,RNF13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.292,95.0,19,7,36.84,3.96 (3.77-4.15),12,63.16,1.68 (0.88-2.48)
T cells 18,518,0.223,84.0,131,2,1.53,3.50 (NA-NA),129,98.47,3.07 (2.79-3.35)
astrocytes 5,1141,0.185,97.0,166,35,21.08,2.80 (2.31-3.29),131,78.92,3.56 (3.27-3.84)
oligodendrocyte progenitor cells 7,229,0.144,27.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.162,37.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.114,42.0,101,4,3.96,3.24 (2.61-3.87),97,96.04,3.04 (2.68-3.41)
da like neurons 11,289,0.301,89.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,357,0.096,12.0,237,5,2.11,4.11 (3.12-5.10),232,97.89,4.41 (4.18-4.65)
endothelial cells 9,450,0.271,64.0,74,2,2.7,4.44 (2.36-6.52),72,97.3,5.51 (4.94-6.08)
oligodendrocytes 20,676,0.141,37.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,3052,0.232,98.0,125,5,4.0,3.28 (2.73-3.82),120,96.0,3.35 (3.02-3.68)
astrocytes 8,771,0.336,84.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,218,0.361,77.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,236,0.373,23.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,250,0.245,29.0,117,2,1.71,1.29 (NA-NA),115,98.29,5.42 (5.03-5.81)
astrocytes 15,377,0.144,44.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,287,0.367,67.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77)
da neurons 6,398,0.111,29.0,138,21,15.22,2.42 (1.90-2.95),117,84.78,5.35 (4.99-5.71)
astrocytes microglia 23,253,0.264,54.0,47,4,8.51,2.41 (-0.47-5.28),43,91.49,2.87 (2.54-3.20)
astrocytes 4,752,0.168,71.0,96,7,7.29,4.95 (4.11-5.79),89,92.71,3.22 (2.89-3.56)
oligodendrocytes 0,261,0.141,24.0,42,6,14.29,1.29 (0.87-1.70),36,85.71,4.70 (4.08-5.32)
microglia 1,346,0.214,78.0,43,3,6.98,3.73 (3.39-4.08),40,93.02,3.77 (3.22-4.32)
oligodendrocytes 3,127,0.352,75.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53)
oligodendrocytes 2,528,0.143,16.0,175,20,11.43,3.63 (3.14-4.12),155,88.57,4.54 (4.13-4.94)
