tipo_celular,module_size,CNOT7_MM,CNOT7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.102,11.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49)
T cells 18,518.0,0.095,11.0,131,4,3.05,3.73 (2.63-4.82),127,96.95,3.05 (2.77-3.33)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.117,24.0,353,83,23.51,2.92 (2.55-3.29),270,76.49,4.29 (4.10-4.48)
GABA neurons expressing GLU receptors 22,487.0,0.181,35.0,73,6,8.22,2.08 (0.87-3.29),67,91.78,2.83 (2.42-3.23)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.146,36.0,410,14,3.41,3.24 (2.35-4.14),396,96.59,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,238.0,0.142,36.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,385.0,0.043,1.0,275,85,30.91,3.00 (2.63-3.37),190,69.09,4.64 (4.34-4.95)
oligodendrocytes 20,403.0,0.024,3.0,18,12,66.67,1.30 (0.68-1.91),6,33.33,3.03 (1.82-4.25)
GABA like neurons 14,2402.0,0.273,61.0,455,32,7.03,2.26 (1.67-2.84),423,92.97,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.067,36.0,276,63,22.83,2.61 (2.29-2.92),213,77.17,3.92 (3.67-4.18)
oligodendrocytes 10,735.0,0.088,45.0,277,4,1.44,6.03 (5.93-6.13),273,98.56,3.87 (3.63-4.11)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.266,75.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,448.0,0.14,80.0,43,6,13.95,3.88 (3.69-4.07),37,86.05,3.16 (2.54-3.78)
astrocytes microglia 23,78.0,0.365,73.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.088,8.0,238,33,13.87,3.96 (3.42-4.50),205,86.13,3.57 (3.33-3.81)
microglia 1,1615.0,0.102,39.0,161,63,39.13,2.26 (1.95-2.56),98,60.87,4.07 (3.75-4.38)
oligodendrocytes 3,743.0,0.084,54.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.166,91.0,154,2,1.3,3.94 (1.54-6.34),152,98.7,3.23 (2.97-3.50)
