tipo_celular,module_size,BRD7_MM,BRD7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159.0,0.254,76.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35)
T cells 18,518.0,0.102,16.0,131,8,6.11,3.72 (3.00-4.43),123,93.89,3.03 (2.74-3.32)
astrocytes 5,1656.0,0.124,64.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.145,66.0,353,91,25.78,2.63 (2.35-2.91),262,74.22,4.48 (4.30-4.67)
GABA neurons expressing GLU receptors 22,703.0,0.329,98.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,215.0,0.145,32.0,9,1,11.11,NA,8,88.89,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.085,10.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,358.0,0.18,61.0,31,2,6.45,2.85 (2.75-2.95),29,93.55,2.32 (1.86-2.78)
GABA like neurons 14,2402.0,0.187,37.0,455,28,6.15,1.66 (1.25-2.07),427,93.85,4.59 (4.42-4.77)
astrocytes 8,603.0,0.045,17.0,89,9,10.11,1.39 (1.01-1.78),80,89.89,2.98 (2.61-3.35)
oligodendrocyte progenitor cells 12,1049.0,0.054,19.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.041,7.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,95.0,0.279,49.0,4,2,50.0,2.81 (2.62-2.99),2,50.0,4.14 (2.13-6.15)
astrocytes 15,1768.0,0.045,9.0,105,25,23.81,1.90 (1.45-2.34),80,76.19,3.67 (3.30-4.04)
oligodendrocytes 16,104.0,0.274,91.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.308,42.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62)
astrocytes 4,1807.0,0.178,96.0,104,31,29.81,1.99 (1.56-2.42),73,70.19,3.28 (2.96-3.59)
oligodendrocytes 0,2078.0,0.097,18.0,238,24,10.08,3.06 (2.56-3.56),214,89.92,3.71 (3.47-3.95)
microglia 1,958.0,0.088,16.0,290,24,8.28,2.74 (2.23-3.25),266,91.72,3.93 (3.69-4.18)
oligodendrocytes 3,743.0,0.056,14.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526.0,0.105,5.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
