tipo_celular,module_size,MAPK3_MM,MAPK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.305,77.0,262,28,10.69,3.08 (2.42-3.74),234,89.31,4.30 (4.04-4.56)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.247,70.0,410,21,5.12,2.88 (2.30-3.46),389,94.88,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,70.0,0.214,79.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,559.0,0.151,47.0,155,5,3.23,5.58 (3.78-7.39),150,96.77,4.29 (3.92-4.66)
oligodendrocytes 20,221.0,0.166,38.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402.0,0.245,54.0,455,43,9.45,2.62 (2.09-3.15),412,90.55,4.59 (4.41-4.77)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.193,61.0,261,17,6.51,3.14 (2.53-3.75),244,93.49,4.48 (4.23-4.73)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,105.0,0.24,64.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00)
da neurons 6,553.0,0.103,29.0,124,12,9.68,3.46 (2.61-4.30),112,90.32,4.29 (3.86-4.71)
astrocytes microglia 23,109.0,0.321,64.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.096,15.0,238,29,12.18,2.93 (2.49-3.37),209,87.82,3.75 (3.51-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.066,18.0,345,36,10.43,4.10 (3.51-4.69),309,89.57,4.30 (4.08-4.53)
oligodendrocytes 2,528.0,0.205,52.0,175,32,18.29,4.39 (3.74-5.03),143,81.71,4.37 (3.96-4.79)
