tipo_celular,module_size,WDFY3_MM,WDFY3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.277,88.0,32,3,9.38,3.70 (0.83-6.57),29,90.62,3.73 (2.90-4.55)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,118.0,0.244,71.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436.0,0.044,3.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,567.0,0.09,6.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637.0,0.155,49.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54)
da like neurons 11,153.0,0.387,90.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,288.0,0.179,54.0,93,2,2.15,2.53 (2.34-2.73),91,97.85,5.22 (4.72-5.72)
endothelial cells 9,1653.0,0.225,95.0,297,3,1.01,4.17 (NA-NA),294,98.99,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.282,52.0,110,1,0.91,NA,109,99.09,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.193,44.0,306,6,1.96,2.00 (1.08-2.93),300,98.04,5.18 (4.92-5.44)
astrocytes 8,279.0,0.226,30.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,254.0,0.238,38.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,204.0,0.332,27.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,100.0,0.179,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,208.0,0.43,81.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,287.0,0.263,38.0,105,4,3.81,3.41 (1.69-5.13),101,96.19,5.15 (4.69-5.61)
da neurons 6,398.0,0.253,81.0,138,7,5.07,2.02 (0.79-3.25),131,94.93,4.98 (4.61-5.34)
astrocytes microglia 23,107.0,0.172,1.0,1,0,0.0,NA,1,100.0,3.12 (NA-NA)
astrocytes 4,220.0,0.139,33.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,261.0,0.146,27.0,42,3,7.14,1.44 (1.18-1.69),39,92.86,4.33 (3.64-5.02)
microglia 1,315.0,0.141,35.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,127.0,0.238,44.0,45,2,4.44,2.53 (2.34-2.73),43,95.56,4.46 (3.57-5.36)
oligodendrocytes 2,347.0,0.102,4.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
