tipo_celular,module_size,OTUD4_MM,OTUD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.252,86.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,518.0,0.185,69.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656.0,0.132,77.0,136,3,2.21,1.58 (1.17-2.00),133,97.79,3.25 (2.98-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.162,88.0,353,33,9.35,2.18 (1.79-2.57),320,90.65,4.11 (3.92-4.30)
GABA neurons expressing GLU receptors 22,823.0,0.219,76.0,23,5,21.74,2.83 (1.90-3.76),18,78.26,2.23 (1.29-3.17)
GLU like neurons 17,685.0,0.107,33.0,135,25,18.52,2.20 (1.79-2.61),110,81.48,3.47 (3.11-3.82)
da like neurons 11,87.0,0.1,6.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.098,45.0,275,27,9.82,2.14 (1.69-2.59),248,90.18,4.25 (3.98-4.52)
oligodendrocytes 20,271.0,0.295,85.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.096,16.0,125,4,3.2,3.08 (2.95-3.22),121,96.8,3.36 (3.03-3.69)
astrocytes 8,727.0,0.115,56.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.043,9.0,276,32,11.59,2.39 (1.92-2.86),244,88.41,3.73 (3.50-3.96)
oligodendrocytes 10,2107.0,0.088,22.0,358,39,10.89,2.17 (1.75-2.59),319,89.11,4.13 (3.93-4.32)
connective tissue cells 21,145.0,0.29,46.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367.0,0.135,44.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,123.0,0.202,42.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,124.0,0.246,13.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA)
astrocytes 4,1807.0,0.17,90.0,104,19,18.27,2.01 (1.52-2.51),85,81.73,3.07 (2.76-3.38)
oligodendrocytes 0,2078.0,0.136,90.0,238,16,6.72,3.30 (2.41-4.19),222,93.28,3.66 (3.43-3.89)
microglia 1,958.0,0.125,70.0,290,15,5.17,2.86 (2.04-3.67),275,94.83,3.88 (3.64-4.12)
oligodendrocytes 3,743.0,0.072,37.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921.0,0.159,83.0,200,5,2.5,2.77 (2.35-3.20),195,97.5,3.65 (3.38-3.92)
