tipo_celular,module_size,NACC2_MM,NACC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.092,12.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,932.0,0.093,25.0,80,2,2.5,4.37 (4.37-4.37),78,97.5,3.65 (3.23-4.07)
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,61,17.28,2.09 (1.82-2.36),292,82.72,4.40 (4.23-4.57)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.077,12.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,1220.0,0.036,0.0,410,16,3.9,3.95 (3.01-4.89),394,96.1,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,93.0,0.206,79.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,658.0,0.082,8.0,120,14,11.67,3.03 (2.53-3.54),106,88.33,4.85 (4.52-5.18)
oligodendrocytes 20,938.0,0.126,50.0,169,11,6.51,2.73 (1.58-3.87),158,93.49,3.54 (3.32-3.76)
GABA like neurons 14,2090.0,0.111,20.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,603.0,0.053,26.0,89,10,11.24,1.61 (1.07-2.15),79,88.76,2.97 (2.59-3.35)
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,45,16.3,2.00 (1.76-2.23),231,83.7,3.95 (3.72-4.18)
oligodendrocytes 10,806.0,0.045,6.0,261,4,1.53,2.48 (1.81-3.15),257,98.47,4.40 (4.16-4.65)
connective tissue cells 21,111.0,0.304,59.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.04,19.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16)
oligodendrocytes 16,84.0,0.167,39.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,553.0,0.126,49.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61)
astrocytes microglia 23,39.0,0.372,50.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.167,78.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,613.0,0.162,68.0,127,16,12.6,2.33 (1.88-2.78),111,87.4,3.23 (2.73-3.73)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.107,62.0,87,52,59.77,2.36 (2.07-2.66),35,40.23,2.97 (2.45-3.49)
oligodendrocytes 2,528.0,0.253,74.0,175,7,4.0,3.81 (2.83-4.80),168,96.0,4.41 (4.05-4.78)
