tipo_celular,module_size,ANKRD23_MM,ANKRD23_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.109,23.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.102,29.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,50,14.16,1.91 (1.65-2.17),303,85.84,4.34 (4.16-4.51)
GABA neurons expressing GLU receptors 22,599.0,0.166,28.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1247.0,0.086,17.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,120.0,0.137,18.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.033,10.0,110,8,7.27,2.55 (0.84-4.26),102,92.73,5.23 (4.81-5.66)
GABA like neurons 14,2090.0,0.218,86.0,74,14,18.92,2.23 (2.00-2.47),60,81.08,3.14 (2.68-3.60)
astrocytes 8,603.0,0.054,28.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,153.0,0.034,3.0,27,2,7.41,3.98 (-1.95-9.91),25,92.59,4.90 (4.05-5.75)
oligodendrocytes 10,1277.0,0.082,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.05,26.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,78.0,0.151,21.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.363,75.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807.0,0.15,60.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,1186.0,0.093,3.0,300,6,2.0,3.24 (2.99-3.49),294,98.0,3.81 (3.60-4.02)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,357.0,0.063,22.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47)
oligodendrocytes 2,407.0,0.166,62.0,122,50,40.98,1.94 (1.69-2.19),72,59.02,4.84 (4.39-5.30)
