tipo_celular,module_size,RAB5A_MM,RAB5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.197,82.0,71,8,11.27,3.30 (1.78-4.82),63,88.73,2.52 (2.10-2.93)
T cells 18,727,0.129,38.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141,0.109,21.0,166,18,10.84,2.65 (1.89-3.41),148,89.16,3.50 (3.24-3.76)
oligodendrocyte progenitor cells 7,4285,0.139,55.0,353,57,16.15,2.79 (2.36-3.21),296,83.85,4.16 (3.97-4.35)
GABA neurons expressing GLU receptors 22,487,0.163,26.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685,0.155,62.0,135,28,20.74,2.25 (1.77-2.74),107,79.26,3.39 (3.05-3.73)
da like neurons 11,289,0.102,15.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,93,0.23,90.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412,0.108,20.0,141,12,8.51,2.78 (1.95-3.60),129,91.49,2.98 (2.73-3.23)
oligodendrocytes 20,228,0.139,26.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,2402,0.098,8.0,455,70,15.38,3.22 (2.79-3.64),385,84.62,4.57 (4.37-4.77)
astrocytes 8,354,0.095,33.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.083,56.0,276,43,15.58,3.01 (2.59-3.42),233,84.42,3.68 (3.43-3.93)
oligodendrocytes 10,735,0.092,47.0,277,2,0.72,NA,275,99.28,3.89 (3.65-4.14)
connective tissue cells 21,116,0.274,42.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768,0.109,70.0,105,23,21.9,2.72 (1.98-3.46),82,78.1,3.37 (3.00-3.73)
oligodendrocytes 16,74,0.14,16.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.093,23.0,124,8,6.45,3.88 (1.33-6.42),116,93.55,4.20 (3.80-4.59)
astrocytes microglia 23,108,0.287,29.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,787,0.152,52.0,65,3,4.62,4.10 (2.88-5.33),62,95.38,2.89 (2.49-3.30)
oligodendrocytes 0,2078,0.118,58.0,238,17,7.14,3.49 (2.51-4.47),221,92.86,3.65 (3.42-3.87)
microglia 1,958,0.129,74.0,290,19,6.55,2.61 (2.10-3.12),271,93.45,3.92 (3.68-4.16)
oligodendrocytes 3,743,0.062,20.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.144,64.0,200,18,9.0,3.86 (3.08-4.65),182,91.0,3.60 (3.31-3.88)
