tipo_celular,module_size,KLHL22_MM,KLHL22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.159,54.0,71,7,9.86,2.21 (1.35-3.07),64,90.14,2.68 (2.22-3.13)
T cells 18,727.0,0.105,20.0,49,5,10.2,4.54 (3.80-5.28),44,89.8,2.16 (1.80-2.52)
astrocytes 5,932.0,0.126,74.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.111,18.0,353,70,19.83,2.86 (2.48-3.24),283,80.17,4.23 (4.04-4.43)
GABA neurons expressing GLU receptors 22,203.0,0.242,41.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.218,88.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.209,85.0,133,31,23.31,2.12 (1.67-2.57),102,76.69,3.68 (3.33-4.04)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,228.0,0.554,98.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2090.0,0.394,100.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.157,89.0,66,25,37.88,2.22 (1.63-2.81),41,62.12,3.91 (3.45-4.36)
oligodendrocyte progenitor cells 12,411.0,0.051,25.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97)
oligodendrocytes 10,2107.0,0.116,36.0,358,86,24.02,2.94 (2.58-3.29),272,75.98,4.28 (4.07-4.48)
connective tissue cells 21,86.0,0.377,91.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,261.0,0.109,27.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,90.0,0.263,76.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.246,10.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,721.0,0.17,81.0,61,11,18.03,4.19 (3.22-5.16),50,81.97,2.67 (2.26-3.09)
oligodendrocytes 0,1186.0,0.104,6.0,300,32,10.67,4.05 (3.72-4.39),268,89.33,3.76 (3.53-3.99)
microglia 1,1615.0,0.099,33.0,161,55,34.16,2.87 (2.41-3.33),106,65.84,3.55 (3.24-3.86)
oligodendrocytes 3,1003.0,0.057,10.0,111,1,0.9,4.17 (NA-NA),110,99.1,3.29 (2.95-3.64)
oligodendrocytes 2,407.0,0.173,68.0,122,42,34.43,2.76 (2.17-3.35),80,65.57,3.78 (3.30-4.26)
