tipo_celular,module_size,MYEF2_MM,MYEF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.131,49.0,166,5,3.01,0.62 (0.22-1.02),161,96.99,3.47 (3.23-3.72)
oligodendrocyte progenitor cells 7,4285.0,0.128,38.0,353,12,3.4,0.91 (0.39-1.44),341,96.6,4.01 (3.84-4.19)
GABA neurons expressing GLU receptors 22,1069.0,0.174,56.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.141,14.0,16,1,6.25,NA,15,93.75,2.08 (1.23-2.93)
da like neurons 11,204.0,0.185,50.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.136,25.0,120,4,3.33,3.45 (2.71-4.20),116,96.67,4.65 (4.33-4.98)
oligodendrocytes 20,348.0,0.218,78.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.229,98.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577.0,0.043,11.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.036,5.0,276,6,2.17,1.55 (0.67-2.43),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,735.0,0.031,3.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.148,90.0,105,7,6.67,1.32 (0.48-2.16),98,93.33,3.34 (3.00-3.67)
oligodendrocytes 16,84.0,0.182,55.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,448.0,0.071,12.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,49.0,0.194,5.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA)
astrocytes 4,752.0,0.188,93.0,96,1,1.04,5.45 (NA-NA),95,98.96,3.26 (2.93-3.59)
oligodendrocytes 0,309.0,0.139,57.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.083,39.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,921.0,0.098,5.0,200,2,1.0,3.22 (NA-NA),198,99.0,3.62 (3.36-3.89)
